Algorithm,CV F1 Score,Training Time (s),Uses Scaling
Random Forest,0.9868457315220891,19.352389097213745,False
Extra Trees,0.985943241870498,11.641635179519653,False
Gradient Boosting,0.9859042724218054,85.47132110595703,False
XGBoost,0.9839113215571287,5.20241904258728,False
LightGBM,0.9820849271712205,282.8329367637634,False
Logistic Regression,0.9812524768596533,4.603768825531006,True
AdaBoost,0.9582286860566859,21.967538118362427,False
